criterion,role,topic,examples
"Delivers large well-defined tasks and solves small scope not-well-defined problems","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🕵🏽‍♂️ Quality engineering, 🌐 Web engineering","impact 3",""
"Contributes to writing proposals (Co-authors with more experienced Engineer)","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🕵🏽‍♂️ Quality engineering, 🌐 Web engineering","impact 3",""
"Breaks down large problems into smaller iterative steps across multiple PRs","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering","impact 3",""
"Solves ambiguous problems","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering, 🔌 TechOps engineering","impact 4",""
"Leads writing small/medium scope proposals","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering","impact 4",""
"Thrown at fires and resolves / contributes heavily to resolving them","🛠️ Backend engineering, 📊 Data engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering, 🔌 TechOps engineering","impact 4, mastery-science 4",""
"Makes pragmatic choices about taking on tech debt","🛠️ Backend engineering, 📊 Data engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering","impact 4, mastery-science 4",""
"Considers multiple different solutions for solving a problem","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering, 🔌 TechOps engineering","impact 4",""
"Breaks down projects into smaller iterative steps that each deliver value","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering, 🔌 TechOps engineering","impact 4",""
"Solves the 'hard problem' in a project e.g. Mastercard crypto and sees it through to resolution","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering","impact 5",""
"Solves larger ambiguous problems","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering, 🔌 TechOps engineering","impact 5",""
"Leads incident resolutions","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering, 🔌 TechOps engineering","impact 5",""
"Makes judgements about when to diverge from the immediate goal to achieve something else","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering, 🔌 TechOps engineering","impact 5",""
"Leading large scale technical infrastructure projects (level 5 would originate or complete, probably)","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering","impact 5",""
"Leads writing large scope proposals","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering, 🔌 TechOps engineering, 🔌 TechOps engineering","impact 5, impact 4",""
"Breaks down large long-lasting projects into sensible discrete chunks that compound to achieve a large goal","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering, 🔌 TechOps engineering","impact 5",""
"Helps prioritise and balance short-term and long-term investments, focusing on high impact, high value work","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering, 🔌 TechOps engineering","impact 5",""
"Accountable for delivery of large, mission critical engineering projects","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering","impact 6",""
"Originates or finishes large, horizontal engineering efforts","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering","impact 6",""
"Onboards / mentors new guild members","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🕵🏽‍♂️ Quality engineering, 🌐 Web engineering","leadership 3",""
"Finds learning opportunities for others when reviewing their code and follows it up","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering","leadership 3","I think this code could be improved by doing X, let's pair on it and I'll talk through why X is good for this"
"Contributes to maintaining the Move culture in their team, helping new joiners","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering, 🔌 TechOps engineering","leadership 4",""
"Gets buy-in on technical decision-making and proposed designs","🛠️ Backend engineering, 📊 Data engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering, 🔌 TechOps engineering","leadership 4, mastery 4",""
"Proactively involves other relevant guild members","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering, 🔌 TechOps engineering","leadership 4",""
"Sought out for code reviews","🛠️ Backend engineering, 📊 Data engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering","leadership 4, mastery 4",""
"Instills Move engineering principles in other guild members","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering","leadership 4",""
"Helps the growth of guild members around them through coaching and mentoring","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering","leadership 4",""
"Helps their squad work together more effectively","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering, 🔌 TechOps engineering","leadership 4",""
"Helps facilitate team/squad rituals","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering, 🔌 TechOps engineering","leadership 4",""
"Makes improvements to modules/libraries/services and goes out of their way to help others learn from it","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering","leadership 4","I've used RxJava for the first time here, I'm going to do a talk about why I've done this, here's some great blog posts on it"
"Instills Move engineering principles across a whole squad of guild members","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering, 🔌 TechOps engineering","leadership 5",""
"Works with relevant Engineering Managers to help other guild members perform and grow","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering, 🔌 TechOps engineering","leadership 5",""
"Fosters effective collaboration in multi-disciplinary squads (backend, mobile, data, design, web)","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering, 🔌 TechOps engineering","leadership 5",""
"Delegates technical decisions with low risk and high reversibility","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering, 🔌 TechOps engineering","leadership 5",""
"Owns technical decisions with high risk and low reversibility","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering, 🔌 TechOps engineering","leadership 5",""
"Contributes to maintaining the Move culture in the wider company","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering, 🔌 TechOps engineering","leadership 5",""
"Bootstraps new teams","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering, 🔌 TechOps engineering","leadership 5",""
"Helps groups of squads work together more effectively","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering","leadership 6",""
"Starts things that they cannot finish by themselves","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering","leadership 6",""
"Delegates to make better use of their time","🛠️ Backend engineering, 📊 Data engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering","leadership 6, mastery 6",""
"Improves documentation that is incorrect","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🕵🏽‍♂️ Quality engineering, 🌐 Web engineering, 🔌 TechOps engineering","influence 1",""
"Proactively raises issues they spot in retrospectives","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🕵🏽‍♂️ Quality engineering, 🌐 Web engineering, 🔌 TechOps engineering","influence 2",""
"Provides valuable input to proposals from their team","🛠️ Backend engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering, 🔌 TechOps engineering","influence 3",""
"Proactively improves modules, services, systems and codebases they encounter, 'this doesn't make sense, I'm going to do something about it'","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering, 🔌 TechOps engineering","influence 3",""
"Contributes to scaling engineering hiring (e.g. leads calls, does onsite interviews)","🛠️ Backend engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering","influence 3",""
"Builds simple tools or iterates existing tools for the benefit of all guild members","🛠️ Backend engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering","influence 3",""
"Positively influences guild members in the wider org","🛠️ Backend engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering","influence 4",""
"Maintains documentation on things they know the most, makes it easy for future guild members to interact with systems/code","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering","influence 4",""
"Clears blockers for junior team members, provides context/guidance, or knows how to escalate","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering","influence 4",""
"Asks why. Does not take truths for granted unless they understand exactly where they are coming from (especially with regards to regulation, compliance, etc)","🛠️ Backend engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering, 🔌 TechOps engineering","influence 4",""
"Drives changes to engineering practices with well-reasoned arguments and a 'strong opinion, weakly held' mentality","🛠️ Backend engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering","influence 4",""
"Shapes the direction of systems designs with less experienced guild members","🛠️ Backend engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering","influence 4",""
"Breaks down delivery and knowledge silos in their squad","🛠️ Backend engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering, 🔌 TechOps engineering","influence 4",""
"Represents Move at conferences/events","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering, 🔌 TechOps engineering","influence 5",""
"Given as reason for other guild members to join Move","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering","influence 5",""
"Proactively shares knowledge internally","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering, 🔌 TechOps engineering","influence 5",""
"Acts as the 'sole proprietor', in the CEO mindset, their ego/agenda is not a factor in their thinking or decision making","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering, 🔌 TechOps engineering","influence 5",""
"Attracts other very senior hires","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering","influence 6",""
"guild members around them get better and have a bigger impact, faster","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering","influence 6",""
"Learns to write correct Go code, following guidance and training materials","🛠️ Backend engineering","mastery 1",""
"Fixes simple bugs","🛠️ Backend engineering, 🌐 Web engineering","mastery 1",""
"Designs simple database tables","🛠️ Backend engineering","mastery 2",""
"Implements asynchronous messaging between services","🛠️ Backend engineering","mastery 2",""
"Deploys services to staging and production","🛠️ Backend engineering","mastery 2",""
"Handles simple error cases in RPC handlers and message consumers","🛠️ Backend engineering","mastery 2",""
"Fixes bugs involving a number of services and can investigate production issues","🛠️ Backend engineering","mastery 2",""
"Uses appropriate algorithms and data structures to solve problems","🛠️ Backend engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering","mastery 2",""
"Writes automated unit and acceptance tests","🛠️ Backend engineering","mastery 2",""
"Implements simple RPC handlers","🛠️ Backend engineering","mastery 2","Basic CRUD handlers; Internal/external API proxies"
"Writes correct Go code following accepted best practices","🛠️ Backend engineering","mastery 2","Follows our Coding Conventions & Best Practices, uses language-level primitives correctly"
"Uses appropriate design patterns","🛠️ Backend engineering, 👩‍💻 Mobile engineering","mastery 3, mastery 2",""
"Designs new schemas comprising multiple tables","🛠️ Backend engineering","mastery 3",""
"Implements complex asynchronous messaging flows","🛠️ Backend engineering","mastery 3",""
"Co-ordinates complex deployments and database migrations","🛠️ Backend engineering","mastery 3",""
"Implements distributed systems consisting of multiple interacting services","🛠️ Backend engineering","mastery 3",""
"Produces technical designs that include a consideration of scalability","🛠️ Backend engineering","mastery 3",""
"Handles complex error cases in RPC handlers and message consumers","🛠️ Backend engineering","mastery 3",""
"Debugs production issues","🛠️ Backend engineering, 🌐 Web engineering","mastery 3",""
"Considers metrics when building a new system","🛠️ Backend engineering","mastery 3",""
"Writes idiomatic Go code","🛠️ Backend engineering","mastery 3","Follows the guidelines in Effective Go (https://golang.org/doc/effective_go.html), avoids using patterns that are idiomatic in other languages"
"Mitigates race conditions and partial failure states in distributed systems","🛠️ Backend engineering","mastery 3","Uses locking where appropriate, writes code that is “self-healing” when dealing with distributed failure (e.g. data needs to be written in two or more services)"
"Implements complex RPC handlers","🛠️ Backend engineering","mastery 3","Implements complex business logic, orchestrates multi-stage processes, deals with idempotency or distributed data sources"
"Proactively considers security implications of their work","🛠️ Backend engineering","mastery 3","Appropriately ties down internal access to resources they're working with (e.g. RPC blacklisting, BigQuery permissions); Evaluates security risks when contributing to proposals; Highlights potential security issues when raising and reviewing pull requests - e.g. adding rate limiting in an API, or leaving a code comment to explain why we choose not to; ""There's a risk here of X, Y but given Z, I think this is OK""; Loops in Security when their squad is unsure about something by posting in #security-requests"
"Writes code that serves as a definitive example for new guild members","🛠️ Backend engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering","mastery 4",""
"Leads the refactoring (de-cruftification) of complex systems","🛠️ Backend engineering","mastery 4",""
"Debugs complex production issues at speed","🛠️ Backend engineering","mastery 4",""
"Identifies and fixes security vulnerabilities","🛠️ Backend engineering, 👩‍💻 Mobile engineering","mastery 4",""
"Identifies and fixes performance bottlenecks in individual services","🛠️ Backend engineering","mastery 4",""
"Explains all aspects of the platform to new guild members","🛠️ Backend engineering","mastery 4",""
"Includes actionable dashboarding as part of a new system","🛠️ Backend engineering","mastery 4",""
"Implements services or libraries that require a deep level of domain knowledge","🛠️ Backend engineering, 🌐 Web engineering","mastery 4","Mastercard message parsing; Credit decisioning; CASS scheduling; Google Pay; "
"Makes contributions to library code or core services","🛠️ Backend engineering","mastery 4","Bug fixes, small improvements; things that don’t result in a major change in the public API"
"Builds systems that scale reliably without intervention","🛠️ Backend engineering","mastery 4","Services can withstand a year’s worth of growth in load/user base without needing first aid"
"Builds systems that serve as definitive examples for new guild members","🛠️ Backend engineering","mastery 5",""
"Makes major contributions to library code or core services","🛠️ Backend engineering","mastery 5",""
"Contributes to external technologies or libraries that we depend on","🛠️ Backend engineering, 🌐 Web engineering","mastery 5",""
"Develops clear technical solutions from ambiguous requirements","🛠️ Backend engineering, 🌐 Web engineering","mastery 5",""
"Uncovers and fixes tricky bugs that have previously evaded detection","🛠️ Backend engineering, 🌐 Web engineering","mastery 5",""
"Implements security improvements that impact multiple services","🛠️ Backend engineering","mastery 5",""
"Implements performance improvements that impact multiple services","🛠️ Backend engineering","mastery 5",""
"Demonstrates a deep level of knowledge in a specific area","🛠️ Backend engineering, 🌐 Web engineering","mastery 5",""
"Serves as a technical authority on a technology or an area of the codebase","🛠️ Backend engineering, 🌐 Web engineering","mastery 5",""
"Creates dashboards that broadly impact all guild members","🛠️ Backend engineering","mastery 5",""
"Produces clear technical designs for large complex projects","🛠️ Backend engineering","mastery 5","Outbound and Inbound MasterCard clearing proposals"
"Makes major contributions to technologies and libraries that we depend on","🛠️ Backend engineering, 🌐 Web engineering","mastery 6",""
"Makes improvements to the stability, performance or security of the entire platform","🛠️ Backend engineering","mastery 6",""
"Serves as a technical authority in the wider engineering community","🛠️ Backend engineering, 🌐 Web engineering","mastery 6",""
"Actively comments on and engages with proposals","📊 Data engineering","influence 3",""
"Contributes to data team blog","📊 Data engineering","influence 4",""
"Contributes to data hiring","📊 Data engineering","influence 4","leads calls, does onsite interviews"
"Comfortable with using git and contributing to our code base","📊 Data engineering","mastery 1",""
"Can extend existing data models and design simple new ones","📊 Data engineering","mastery 1",""
"Creates new Looker views and dashboards; extracts basic insights quickly from existing Looker explores","📊 Data engineering","mastery 1",""
"Strong SQL skills","📊 Data engineering","mastery 1",""
"Implements basic prediction models quickly","📊 Data engineering","mastery 1",""
"Basic Python or R skills","📊 Data engineering","mastery 1",""
"Demonstrates a good understanding of the business team they are partnering with","📊 Data engineering","mastery 1","Knows how the team is organised, who is who, what are the goals, current priorities, biggest challenges etc."
"Translates business questions into analysable hypothesis and answers those","📊 Data engineering","mastery 1","Question from business 'Why do salaried users cost us twice as much on customer support?' → cost are allocated by number of intercom queries → salaried users must be generating more queries → Is of queries proportional to engagement? → Are all salaried users are over-proportionally struggling with particular problems (e.g. missing bank statements) → etc."
"Picks the right visualisation types for the data at hand","📊 Data engineering","mastery 1","distributions, time series, scatter plots etc"
"Basic stats and math knowledge","📊 Data engineering","mastery 1","Able to find a formula to calculate confidence intervals for different measurement scenarios, knows how to interpret those etc."
"Reasons well about about underlying principles of data modeling","📊 Data engineering","mastery 2",""
"Attention to details","📊 Data engineering","mastery 2","whenever they deliver a piece of work or send a weekly KPIs report they don’t just blindly copy & paste; they sanity check whether things make sense and try to spot mistakes"
"Brings things to completion","📊 Data engineering","mastery 2","analysts/data scientists often exhibit a behaviour where they run many analyses in parallel for a prolonged time without closing tasks off. Closing a task off could mean writing down key takeaway and sharing the findings with the relevant audience.; brings a model into a production experiment instead of continuing to tweak offline results"
"Consistently applies data modeling best practices and suggests ways to improve current practices in non trivial cases","📊 Data engineering","mastery 3",""
"Able determine what really matters for a particular analysis and understands what a 80/20 solution would look like and can prioritise accordingly","📊 Data engineering","mastery 3",""
"Able to pick the best tool and method to effectively help the business to answer a question/make a decision","📊 Data engineering","mastery 3","Looker, SQL, python or spreadsheets + a basic chart, blackbox ML model or a structured scenario model etc) → Understands the problem at hand and proposes alternative suitable solutions rather trying to fit the problem to the favourite tool."
"Concise, clear and effective communication","📊 Data engineering","mastery 3","tailored to audience, clear and concise message (i.e no unnecessary details); can be through emails, slack or presentations"
"Actively drives improvements of how the team works","📊 Data engineering","mastery 4",""
"Values teams success over individual success and company’s success over teams success","📊 Data engineering","mastery 4",""
"Onboards / mentors new team members","📊 Data engineering","mastery 4",""
"Distinguishes clearly between urgent and important tasks and is able to focus on getting the important tasks done.","📊 Data engineering","mastery 4","effectively manages expectations of other people; communicates priorities to their team and other relevant stakeholders"
"Holds themselves and others accountable","📊 Data engineering","mastery 4","Accountability is about delivering on a commitment. It’s responsibility to an outcome, not just a set of tasks."
"Communicates complex ideas effectively","📊 Data engineering","mastery 4","has the ability to chose the appropriate level of abstraction and make complexity easy to understand tips (see https://www.fastcompany.com/3045853/how-to-talk-about-complex-topics-without-dumbing-them-down)"
"Solves larger ambiguous/not well defined problems","📊 Data engineering","mastery 5",""
"Contributes to maintaining Move’s culture in the wider company","📊 Data engineering","mastery 5",""
"Proactively thinks about how we can get better at our purpose: quicker and better decisions based on data","📊 Data engineering","mastery 5",""
"Builds out a strong internal network","📊 Data engineering","mastery 5","i.e. well connected through-out the company, also to teams with no direct common projects at the moment"
"Has good organisational awareness","📊 Data engineering","mastery 5","understands the process of how things are getting done in the company e.g. how and when goals are set, how decisions are being made, how priorities are defined etc."
"Sees common patterns in similar tasks and thinks about the solution from the platform/systems perspective.","📊 Data engineering","mastery 5","solutions that not only solve your own problem but also similar problems of other people in the company)"
"Delivers projects that require cross functional collaboration","📊 Data engineering","mastery 6",""
"Familiar with ML batch serving techniques","📊 Data engineering","mastery-science 2",""
"Basic knowledge of standard ML approaches","📊 Data engineering","mastery-science 2","linear regression, neural nets, clustering, random forests etc."
"Able to pick the right ML method for the problem at hand; demonstrates good intuition of how those approaches work and what strength/weaknesses they have","📊 Data engineering","mastery-science 3",""
"Distinguishes well between impactful ML problems vs just 'predicting something'","📊 Data engineering","mastery-science 3",""
"Replicates cutting edge approaches from research papers where required","📊 Data engineering","mastery-science 4",""
"Thinks about the future situations code will be used in, planning and acting accordingly","📊 Data engineering","mastery-science 4",""
"Debugs complex Deep Neural Net code/issues","📊 Data engineering","mastery-science 4","knows what to look at when the loss is not decreasing etc."
"Validates ideas aggressively & iteratively","📊 Data engineering","mastery-science 4","tackles the biggest unknowns first; validates ideas with 10% effort"
"Measures, understands and is transparent about the impact of their ML work.","📊 Data engineering","mastery-science 4","we should serve as role models for the rest of the company in this regard in particular"
"Technical authority within their immediate peer group (team/platform), the natural escalation point","📊 Data engineering","mastery-science 5",""
"Familiar with ML streaming, stateful and stateless serving techniques","📊 Data engineering","mastery-science 5","can spec out and plan an implementation. Familiar with technological components that might be required"
"Serves as a technical authority in the wider data science community","📊 Data engineering","mastery-science 6",""
"Deep domain knowledge, can go lower than almost anyone else","📊 Data engineering","mastery-science 6",""
"Makes targeted improvements in stability, performance and scalability across our platform","📊 Data engineering","mastery-science 6",""
"Measurable impact on company level goals","📊 Data engineering","mastery-science 6",""
"Asks why. Does not take truths for granted unless they understand exactly where they are coming from","📊 Data engineering","mastery-analytics 3","especially with regards to regulation, compliance, etc."
"Valued and trusted business partner for the teams they support","📊 Data engineering","mastery-analytics 4","Can be mostly proxied by the type of questions their business partners are asking. 'Can you help me to solve this (hard) problem?' vs 'Can you please pull this number?'"
"Proactively identifies relevant/impactful areas for analyses which would deepen the understanding of the business or enable decisions","📊 Data engineering","mastery-analytics 4","during the planning process you contribute proactively to help your team to define the right priorities with relevant insights"
"Deep domain knowledge in specific areas, can go lower than almost anyone else","📊 Data engineering","mastery-analytics 5","deep credit risk knowledge, user behaviour analytics etc"
"Comfortably supports and interacts with C-level executives","📊 Data engineering","mastery-analytics 6",""
"Writes Swift or Kotlin code according to our style guides","👩‍💻 Mobile engineering","mastery 1",""
"Proactive in asking questions, explains what they have tried so far and why that hasn’t worked","👩‍💻 Mobile engineering, 🕵🏽‍♂️ Quality engineering","mastery 1",""
"Updates layout to existing screens","👩‍💻 Mobile engineering","mastery 1",""
"Builds simple screens or flows","👩‍💻 Mobile engineering","mastery 1",""
"Asks questions and actions feedback from PRs and other guild members","👩‍💻 Mobile engineering","mastery 1",""
"Fixes simple bugs or issues","👩‍💻 Mobile engineering","mastery 1",""
"Responsible for building small to medium sized new features inside the app","👩‍💻 Mobile engineering","mastery 2",""
"Modifies and improves existing parts of the app (and reasons about the improvements)","👩‍💻 Mobile engineering","mastery 2",""
"Adds basic UI tests or snapshots","👩‍💻 Mobile engineering","mastery 2",""
